Species,Species_Label,FOFEM_sppCD,GCBM_GenSppCD,TreeType,DUFF_LITTER_BIOMASS_Ref,DUFF_BD,LITTER_BD,TREE_BIOMASS_Ref,BIOMASS_DBH_Bwood1,BIOMASS_DBH_Bwood2,BIOMASS_DBH_Bbark1,BIOMASS_DBH_Bbark2,BIOMASS_DBH_Bbranches1,BIOMASS_DBH_Bbranches2,BIOMASS_DBH_Bfoliage1,BIOMASS_DBH_Bfoliage2,BIOMASS_DBH-HT_Bwood1,BIOMASS_DBH-HT_Bwood2,BIOMASS_DBH-HT_Bwood3,BIOMASS_DBH-HT_Bbark1,BIOMASS_DBH-HT_Bbark2,BIOMASS_DBH-HT_Bbark3,BIOMASS_DBH-HT_Bbranches1,BIOMASS_DBH-HT_Bbranches2,BIOMASS_DBH-HT_Bbranches3,BIOMASS_DBH-HT_Bfoliage1,BIOMASS_DBH-HT_Bfoliage2,BIOMASS_DBH-HT_Bfoliage3
WB,WB - bebb's willow,SABE,SABE,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WD,WD - grey-leaved willow,SACI,SACI,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WS,WS - scouler's willow,SASC,SASC,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
WT,WT - tea-leaved willow,SAPL,SAPL,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
XC,XC - Unknown conifer,UNKSOFT,UNKSOFT,softwood,Average of all conifers,112.6563967,43.8032162,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
XH,XH - Unknown hardwood,UNKHARD,UNKHARD,hardwood,Average of all hardwoods,180.2777937,70.05875186,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
Y,Y - cypress,CYPRESS,CYPRESS,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CE - Lambert 2005,0.1277,1.9778,0.0377,1.6064,0.0254,2.2884,0.055,1.8656,0.052,1.7731,0.7054,0.0283,1.7079,0,0.0219,2.3585,0,0.2575,2.5136,-1.5565
YC,YC - yellow cedar,CANO,CANO,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,CE - Lambert 2005,0.1277,1.9778,0.0377,1.6064,0.0254,2.2884,0.055,1.8656,0.052,1.7731,0.7054,0.0283,1.7079,0,0.0219,2.3585,0,0.2575,2.5136,-1.5565
ZC,ZC - Other conifer,OTHSOFT,OTHSOFT,softwood,Woodall and Monleon 2008 (Other western softwoods),137.5986003,53.50166766,XC - Ung 2008,0.0564,2.4347,0.0153,2.211,0.0194,2.2408,0.0935,1.6106,0.0276,1.6868,1.0953,0.0101,1.8486,0.5525,0.0313,2.9974,-1.0383,0.1379,2.3981,-1.0418
ZH,ZH - Other hardwood,OTHHARD,OTHHARD,hardwood,Woodall and Monleon 2008 (Other western hardwoods),184.3725134,71.60253126,XH - Ung 2008,0.0864,2.3715,0.0226,2.2151,0.0186,2.4462,0.0385,1.6255,0.0353,2.0249,0.7048,0.009,1.8677,0.7144,0.0448,2.6855,-0.5911,0.0869,1.8541,-0.5491
UNK,UNK - Unknown (Fuel Load Module),UNK,UNK,softwood,Average of everything,146.4670952,56.93098403,UNK,0.0741,2.3875,0.0182,2.2181,0.0227,2.2797,0.0764,1.5861,0.0283,1.8298,0.9546,0.012,1.6378,0.7746,0.0338,2.6624,-0.5743,0.1699,2.3289,-1.1316
